,GENEID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
23,ENSMUSG00000026532,Spta1,21065.5358999437,1.55770973577978,0.133467122690267,11.6711119890904,1.79067210464279E-31,1.31864060705835E-29
24,ENSMUSG00000028328,Tmod1,1432.80011058209,1.71664640286632,0.147793124164341,11.6151980179908,3.44988191124422E-31,2.45776005741989E-29
25,ENSMUSG00000044792,Isca1,5470.7596420367,1.16780735681149,0.100658976169077,11.6016216462397,4.04342809856471E-31,2.86727723082017E-29
26,ENSMUSG00000068115,Ninl,1480.9114453068,1.55009850566891,0.134634992167055,11.5133404824323,1.13014260662674E-30,7.86709093358445E-29
27,ENSMUSG00000041570,Camsap2,5393.5294210273,1.43799732138677,0.127922568071323,11.2411542628273,2.56012819574874E-29,1.64073153030475E-27
28,ENSMUSG00000025270,Alas2,11124.1551721065,1.65800028194091,0.148840057572522,11.1394762201907,8.05919237313178E-29,4.99767812061779E-27
29,ENSMUSG00000006567,Atp7b,2650.59609688721,1.57360431553664,0.141454023199102,11.1244931741653,9.53462052095894E-29,5.8651318280935E-27
30,ENSMUSG00000020490,Btnl10,791.247468276703,1.73518723321524,0.156298401729329,11.1017592887492,1.22998589638316E-28,7.41720235232314E-27
31,ENSMUSG00000038894,Irs2,792.494075575694,1.64419259208209,0.149276227953772,11.0144301917333,3.25590179996375E-28,1.90345984236812E-26
32,ENSMUSG00000052217,Hbb-bh1,4990.61166243397,2.48611848861772,0.226035921113531,10.9987761076657,3.87353395938379E-28,2.25592850402591E-26
33,ENSMUSG00000025573,6030468B19Rik,891.840351437643,1.433263137711,0.130765206911579,10.9605847882774,5.91161262561289E-28,3.41691209760425E-26
34,ENSMUSG00000037336,Mfsd2b,2088.97226165124,1.27673194655183,0.11653530694005,10.955752210003,6.23581204724167E-28,3.57730086620227E-26
35,ENSMUSG00000025889,Snca,1316.86559112598,1.5657584703506,0.143619658791905,10.902118021456,1.12605108948802E-27,6.4357181110776E-26
36,ENSMUSG00000078350,Smim1,1652.81302476808,1.54073611384893,0.141961271084948,10.8532144159724,1.92532891932892E-27,1.08022941602055E-25
37,ENSMUSG00000020802,Ube2o,3063.78796002335,1.5696190065564,0.144793428319217,10.8404022528975,2.21494996498965E-27,1.2381893654652E-25
38,ENSMUSG00000028825,Rhd,5599.47238686346,1.71650805743376,0.158485455716499,10.8306976793143,2.46271693340471E-27,1.37168855523491E-25
39,ENSMUSG00000029012,Orc5,3756.32732516981,1.03000159545621,0.095478645481476,10.7877692468527,3.93218344292227E-27,2.17434129224694E-25
40,ENSMUSG00000027078,Ube2l6,1184.91200941731,1.7430898465632,0.16200795058911,10.7592858265585,5.35838108948904E-27,2.9417320124625E-25
41,ENSMUSG00000031170,Slc38a5,2699.1043955897,1.6188693416137,0.151802882341258,10.6642859255757,1.49543319492307E-26,7.95331605785995E-25
42,ENSMUSG00000042744,Gm15800,14453.1420478084,1.41535157618594,0.13319187680908,10.6264106347471,2.24590671885068E-26,1.17408031442443E-24
43,ENSMUSG00000020669,Sh3yl1,625.431191416533,1.36329717540827,0.128298788122522,10.6259552047082,2.25689717358493E-26,1.17581272135375E-24
44,ENSMUSG00000027075,Slc43a1,4449.18851038416,1.43480220264158,0.135384883636566,10.5979498161201,3.04584059576603E-26,1.57611960828879E-24
45,ENSMUSG00000040466,Blvrb,4943.10676376619,1.48618826697682,0.1407053406807,10.5624154690005,4.4505954332622E-26,2.29527845963896E-24
46,ENSMUSG00000037872,Ackr1,826.981192282525,1.76915996962857,0.167804667240805,10.5429723661367,5.47408855546506E-26,2.81364477865968E-24
47,ENSMUSG00000022280,Rnf19a,2038.15546382755,0.970936732726792,0.092111267909296,10.5409116035934,5.59538605813042E-26,2.86637218235397E-24
48,ENSMUSG00000040435,Ppp1r15a,2285.55619160881,1.56688089545435,0.148949558629726,10.5195403723851,7.02152682922509E-26,3.58495754810802E-24
49,ENSMUSG00000027634,Ndrg3,2416.44406196398,0.91797053444917,0.087270150359114,10.5187229616512,7.08270222186899E-26,3.60417773861685E-24
50,ENSMUSG00000025728,Pigq,3994.48878644648,1.32368680411348,0.125953639970912,10.5093175903385,7.8257754215443E-26,3.95601987233643E-24
51,ENSMUSG00000032131,Abcg4,957.127077599512,1.54094453751652,0.147051581159994,10.4789389230705,1.07948044728981E-25,5.4033993500451E-24
52,ENSMUSG00000038725,Pkhd1l1,10065.1784335137,1.64461542617939,0.157530299176369,10.4399943044487,1.62820475936238E-25,8.07094249163548E-24
53,ENSMUSG00000032519,Slc25a38,1078.86527557098,1.42189410279033,0.136597054002371,10.4094053358256,2.24620349717797E-25,1.10627327865836E-23
54,ENSMUSG00000032656,March3,651.795574544774,1.60547272231772,0.154462853834794,10.393908195137,2.64296374813148E-25,1.28924445000414E-23
55,ENSMUSG00000029101,Rgs12,1360.40841010348,1.48583714452567,0.143138596967275,10.3804087507255,3.04468781191802E-25,1.47115089006777E-23
56,ENSMUSG00000026455,Klhl12,1616.0127190143,1.16261844653253,0.112189359835054,10.3630009854933,3.65316939623023E-25,1.75409390727456E-23
