"","GENEID","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2419","ENSMUSG00000027936","Crtc2",671.854110556364,-0.71177236940559,0.164825706817054,-4.31833348784368,1.57211762789741e-05,9.95457863022104e-05
"2420","ENSMUSG00000020642","Rnf144a",38.7267014315665,-1.93868268332105,0.449363906531526,-4.31428215560307,1.60122336595822e-05,0.000101346852464389
"2421","ENSMUSG00000090113","Nhlrc4",31.4272371442601,2.20722056304484,0.511797932962828,4.31267971378295,1.61287685603468e-05,0.000102042275108976
"2422","ENSMUSG00000051444","Bbs12",355.335228312507,0.670048182900155,0.155498332218606,4.3090377455507,1.63966385335453e-05,0.000103694183492285
"2423","ENSMUSG00000001999","Blvra",870.383064881834,0.555381691938114,0.128919771489491,4.30796367012941,1.64764439273025e-05,0.000104155877686543
"2424","ENSMUSG00000026933","Camsap1",1780.68366428551,0.771062286105443,0.179048726367656,4.30643826263335,1.65904204412916e-05,0.000104833114644911
"2425","ENSMUSG00000060121","Gemin2",1104.74348803403,0.516212133627044,0.119886044499231,4.30585674740778,1.66340680353097e-05,0.000105065575297665
"2426","ENSMUSG00000081254","Gm12112",242.810606619203,0.740941625230626,0.172090110809305,4.30554447170803,1.66575520879253e-05,0.000105170538058842
"2427","ENSMUSG00000068227","Il2rb",13.5048803790034,-5.23326678505902,1.21567205812949,-4.30483430960096,1.67110760645062e-05,0.000105464998796885
"2428","ENSMUSG00000006262","Mob1b",971.66209081885,0.567685013327673,0.131982825591816,4.30120366632666,1.6987283583433e-05,0.000107164012622505
"2429","ENSMUSG00000032870","Smap2",2685.29216665854,0.798149991051103,0.185575909743151,4.30093535392495,1.70078676332064e-05,0.000107249694745913
"2430","ENSMUSG00000027459","Fam110a",98.3175127316515,-1.1216934575118,0.260816433099225,-4.30070085762221,1.70258768847074e-05,0.000107319076643236
"2431","ENSMUSG00000002957","Ap2a2",5359.24454461293,0.56817269165535,0.132152210877745,4.2993809023821,1.71275886026609e-05,0.000107915785531451
"2432","ENSMUSG00000054675","Tmem119",20.4052604122276,-2.88069656786353,0.67036280191546,-4.29722019126416,1.72953371637569e-05,0.000108927910911704
"2433","ENSMUSG00000095788","Sirpb1a",12.5281665622046,-6.01271013563651,1.39939093647018,-4.29666219705765,1.73389111758437e-05,0.000109157460945498
"2434","ENSMUSG00000049676","Catsperg1",97.2517401293912,-1.46740802994076,0.341596738860282,-4.29573196405996,1.74117861265448e-05,0.000109571211216223
"2435","ENSMUSG00000025733","Rhot2",1484.9713189932,0.401803537840238,0.0935462863165236,4.29523772307426,1.74506238608181e-05,0.000109770515678091
"2436","ENSMUSG00000026785","Pkn3",164.154925961783,-1.00942949931273,0.235019876725164,-4.29508139217164,1.74629256050867e-05,0.000109776268635361
"2437","ENSMUSG00000032715","Trib3",35.2325213186264,2.87685896638807,0.669808968853853,4.29504396053523,1.74658723421281e-05,0.000109776268635361
"2438","ENSMUSG00000031960","Aars",7385.82778107585,0.531238344473789,0.123730293922038,4.29351881123404,1.75863406716449e-05,0.000110488096828378
"2439","ENSMUSG00000016253","Nelfcd",1845.22239751739,0.493624481696911,0.115071737886372,4.28971084267747,1.78905897422968e-05,0.000112353490398836
"2440","ENSMUSG00000032936","Camkv",7.5018446890274,-6.10553949275697,1.42347291041604,-4.28918558834567,1.79329480138601e-05,0.000112573346200121
"2441","ENSMUSG00000037999","Arap2",369.821784485162,-1.42325010636182,0.331927644081294,-4.28783239883825,1.80425143573221e-05,0.000113214744945146
"2442","ENSMUSG00000022946","Dopey2",770.461051327713,0.731481576523833,0.17073207713287,4.284382810821,1.83247164419827e-05,0.000114938444611732
"2443","ENSMUSG00000028696","Ipp",892.613786404252,0.514448233165203,0.120086718514056,4.28397277843,1.83585384095349e-05,0.000115103451829245
"2444","ENSMUSG00000027099","Mtx2",2665.33470111515,0.368602344027789,0.0860531754504353,4.28342524373311,1.84037951385806e-05,0.000115339987781358
"2445","ENSMUSG00000020696","Rffl",636.952614376914,0.643846108642262,0.150326063755605,4.28299718995507,1.84392501189127e-05,0.000115514926000567
"2446","ENSMUSG00000058318","Phf21a",642.052595808056,-0.912040617670778,0.212975177755322,-4.28237988709925,1.8490494880423e-05,0.00011578859774466
"2447","ENSMUSG00000020573","Pik3cg",357.643115399773,-1.27633124120084,0.298051837477919,-4.28224584019011,1.85016405608278e-05,0.000115799849252902
"2448","ENSMUSG00000001020","S100a4",27.1609149526937,-4.01755822950945,0.938204735254926,-4.28217645737826,1.85074120892541e-05,0.000115799849252902
"2449","ENSMUSG00000018548","Trim37",5325.0977703599,0.342592020601667,0.0800169127812605,4.28149510764305,1.85641805647633e-05,0.000116107616868305
"2450","ENSMUSG00000034245","Hdac11",153.379395128505,1.33956168652777,0.313265776671642,4.27611883034343,1.90179738131367e-05,0.000118897267304414
"2451","ENSMUSG00000050271","D8Ertd82e",40.3006825328663,-1.76119709348514,0.411887305303442,-4.27591982274774,1.90349725035681e-05,0.00011895498728566
"2452","ENSMUSG00000079192","AC125149.1",38.1815472695244,-4.38261958410379,1.02511751802601,-4.27523626027098,1.90934708523194e-05,0.000119271897652927
"2453","ENSMUSG00000015522","Arnt",2579.97993093299,0.431082404956926,0.100845666334677,4.27467456584888,1.91416680187076e-05,0.000119524227086239
"2454","ENSMUSG00000020544","Cox11",169.20889809831,0.944162347865343,0.221097791176407,4.2703382193087,1.95176756612935e-05,0.000121822427915254
"2455","ENSMUSG00000029119","Man2b2",882.522287644264,-0.755166336077538,0.176861102660929,-4.26982713957921,1.95624523057191e-05,0.000122052171880529
